,Bill,MerchandiseID,Product,Quota,BillDate,Amount,CustomerID,Country,TotalAmount
0,532657,21314,Small glass heart trinket pot,12,14-11-2018,4.1,14562,United Kingdom,49.2
1,563214,22383,Lunch bag suki design ,2,14-08-2019,3.65,16370,United Kingdom,7.3
2,507597,22561,Wooden school colouring set,12,10-05-2018,3.65,17700,United Kingdom,43.8
3,491634,21588,Retro spot giant  tube matches,1,11-12-2017,4.55,17841,United Kingdom,4.55
4,496007,85232B,Set/3 russian doll stacking tins,3,28-01-2018,6.95,15203,United Kingdom,20.85
5,539041,21832,Chocolate calculator,4,15-12-2018,3.65,15456,United Kingdom,14.6
6,575905,22089,Paper bunting vintage paisley,6,11-11-2019,4.95,13732,United Kingdom,29.7
8,536804,22988,Soldiers egg cup ,72,02-12-2018,3.25,14031,United Kingdom,234
9,546899,20719,Woodland charlotte bag,50,17-03-2019,2.72,14298,United Kingdom,136
10,514369,22366,Door mat airmail ,2,02-07-2018,9.49,12477,Germany,18.98
11,503547,84077,World war 2 gliders asstd designs,48,01-04-2018,2.21,14049,United Kingdom,106.08
12,575219,22411,Jumbo shopper vintage red paisley,100,09-11-2019,3.79,17511,United Kingdom,379
13,502829,21687,Silver plate candle bowl large,2,28-03-2018,5.75,17827,United Kingdom,11.5
14,492593,47369B,Blue green embroidery cosmetic bag,1,17-12-2017,4.95,15917,United Kingdom,4.95
15,569699,22751,Feltcraft princess olivia doll,1,05-10-2019,5.75,12723,France,5.75
16,530139,22650,Ceramic pirate chest money bank,12,01-11-2018,3.45,14426,United Kingdom,41.4
17,524601,21974,Set of 36 paisley flower doilies,12,29-09-2018,3.45,12661,Sweden,41.4
18,569897,22508,Doorstop retrospot heart,1,06-10-2019,5.75,17813,United Kingdom,5.75
19,512554,37503,Tea time cake stand in gift box,2,16-06-2018,12.75,15005,United Kingdom,25.5
20,513335,21930,Jumbo storage bag skulls,10,24-06-2018,3.95,17686,United Kingdom,39.5
21,569537,23507,Mini playing cards buffalo bill ,20,04-10-2019,2.42,13269,United Kingdom,48.4
22,497742,72760B,Vintage cream 3 basket cake stand,16,12-02-2018,10.49,16029,United Kingdom,167.84
26,493667,20888,Set 3 jardin de femme scent candles,24,05-01-2018,3.25,13253,United Kingdom,78
28,531227,22297,Heart ivory trellis small,4,05-11-2018,3.25,14825,United Kingdom,13
29,558906,22470,Heart of wicker large,2,04-07-2019,4.95,15555,United Kingdom,9.9
30,516839,20726,Lunch bag woodland,10,23-07-2018,3.65,12647,Germany,36.5
32,494471,21484,Chick grey hot water bottle,2,14-01-2018,5.45,13680,United Kingdom,10.9
34,575886,21731,Red toadstool led night light,12,11-11-2019,3.65,12517,Germany,43.8
35,535777,22659,Lunch box i love london,8,28-11-2018,3.95,13735,United Kingdom,31.6
36,505316,21878,Pack of 6 sandcastle flags assorted,4,21-04-2018,2.85,16231,United Kingdom,11.4
37,567709,22138,Baking set 9 piece retrospot ,3,22-09-2019,6.95,15239,United Kingdom,20.85
38,522298,20972,Pink cream felt craft trinket box ,12,13-09-2018,3.25,14913,United Kingdom,39
39,551014,22971,Queens guard coffee mug,6,26-04-2019,4.55,13209,United Kingdom,27.3
40,565461,22568,Feltcraft cushion owl,4,05-09-2019,5.75,18261,United Kingdom,23
41,579520,22175,Pink owl soft toy,1,29-11-2019,4.95,12748,United Kingdom,4.95
42,533140,22866,Hand warmer scotty dog design,2,16-11-2018,4.1,15968,United Kingdom,8.2
43,556804,22423,Regency cakestand 3 tier,2,14-06-2019,14.75,15125,United Kingdom,29.5
44,559357,21165,Beware of the cat metal sign ,2,07-07-2019,3.69,17107,United Kingdom,7.38
45,537034,22616,Pack of 12 london tissues ,48,03-12-2018,2.29,13081,United Kingdom,109.92
48,535131,22193,Red diner wall clock,2,25-11-2018,10.5,14733,United Kingdom,21
49,535088,22644,Ceramic cherry cake money bank,12,25-11-2018,3.45,17167,United Kingdom,41.4
50,574896,23326,Hanging mini coloured bottles,6,07-11-2019,2.63,17014,United Kingdom,15.78
51,579550,23096,Petit tray chic,12,30-11-2019,3.65,12630,Finland,43.8
52,525745,21531,Red retrospot sugar jam bowl,6,07-10-2018,4.55,13785,United Kingdom,27.3
53,516610,20770,Abstract circle journal ,6,21-07-2018,4.55,13615,United Kingdom,27.3
54,580048,23344,Jumbo bag 50's christmas ,2,01-12-2019,4.08,12748,United Kingdom,8.16
56,560079,22706,Wrap cowboys  ,25,14-07-2019,2.42,15521,United Kingdom,60.5
57,490054,21493, vintage design gift tags,48,03-12-2017,2.85,17017,United Kingdom,136.8
58,563174,23108,Set of 10 led dolly lights,2,12-08-2019,8.25,16746,United Kingdom,16.5
60,546780,23010,Circus parade baby gift set,24,17-03-2019,16.95,12435,Denmark,406.8
62,572066,22041,"Record frame 7"" single size ",12,20-10-2019,4.55,15159,United Kingdom,54.6
63,552658,85141,Jardin etched glass fruitbowl,1,10-05-2019,5.95,14534,United Kingdom,5.95
65,518271,20718,Red spotty shopper bag,30,06-08-2018,3.25,12633,Germany,97.5
67,523364,82494L,Wooden frame antique white ,6,21-09-2018,4.55,17850,United Kingdom,27.3
68,523864,20767,Blue paisley journal ,4,24-09-2018,4.55,15034,United Kingdom,18.2
69,513336,21238,Red spotty cup,8,24-06-2018,2.85,12705,Germany,22.8
70,522068,20723,Strawberry charlotte bag,1,10-09-2018,2.85,16549,United Kingdom,2.85
72,548670,85152,Hand over the chocolate   sign ,2,01-04-2019,4.1,15356,United Kingdom,8.2
73,519507,20726,Lunch bag woodland,10,17-08-2018,3.65,15144,United Kingdom,36.5
74,509743,22277,Cosmetic bag vintage rose paisley,1,25-05-2018,4.1,17841,United Kingdom,4.1
75,562892,23296,Set of 6 tea time baking cases,8,10-08-2019,3.25,16292,United Kingdom,26
78,525071,22949,36 doilies dolly girl,12,03-10-2018,3.45,12583,France,41.4
79,511262,22118,Joy wooden block letters,1,07-06-2018,6.95,16655,United Kingdom,6.95
80,544569,21622,Vintage union jack cushion cover,3,21-02-2019,6.95,16980,United Kingdom,20.85
81,556222,23321,Small white heart of wicker,3,09-06-2019,3.69,17522,United Kingdom,11.07
82,565491,22946,Wooden advent calendar cream,12,05-09-2019,14.75,13881,United Kingdom,177
83,548984,21080,Set/20 red retrospot paper napkins ,2,05-04-2019,2.85,14546,United Kingdom,5.7
